vehicle_telemetry_id,timestamp,registration_number,vehicle_type,vehicle_category,route_origin,route_destination,highway_corridor,current_state,route_progress_pct,current_status,speed_kmh,cargo_payload_tons,passenger_count,fuel_level_pct,engine_temp_c,continuous_driving_hours,driver_fatigue_alert,checkpost_ilp_status,gps_signal_status
VTL-NER-2026-0041,2026-08-25 13:30:00,AS-04-TW-7055,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Guwahati,Shillong,NH-06,Assam,35.1,In Transit / Moving,60.4,1.68,14,75.6,89.8,7.8,Normal,Cleared,Satellite Fallback
VTL-NER-2026-0042,2026-08-25 13:30:00,SK-05-EX-9614,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,47.2,In Transit / Moving,54.1,0.86,2,71.3,89.4,5.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0043,2026-08-25 13:30:00,AS-07-TT-3277,Multi-Axle Container Truck,Cargo / Logistics,Guwahati,Itanagar,NH-15,Assam,40.0,In Transit / Moving,33.0,12.48,2,56.2,87.7,6.0,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0044,2026-08-25 13:30:00,AS-06-MH-3835,Fuel Tanker (POL),Hazardous Cargo,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,29.7,In Transit / Moving,30.0,16.9,2,22.3,89.6,5.5,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0045,2026-08-25 13:30:00,AR-04-KJ-9560,Border Roads Construction Dumper,Infrastructure,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,87.8,Halted / Traffic Congestion,11.2,17.0,1,94.8,89.9,1.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0046,2026-08-25 13:30:00,SK-06-CC-9084,Interstate Passenger Bus (ASTC/Private),Public Transit,Gangtok,Mangan (North Sikkim),Indo-China Highway,Sikkim,17.0,In Transit / Moving,55.0,8.37,2,31.3,98.2,1.4,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0047,2026-08-25 13:30:00,TR-02-MB-7997,Multi-Axle Container Truck,Cargo / Logistics,Agartala,Silchar,NH-08,Assam,54.8,Halted / Landslide Blockade,0.0,6.53,1,28.7,85.6,1.3,Normal,Pending Inspection,Moderate (3G)
VTL-NER-2026-0048,2026-08-25 13:30:00,NL-02-TD-7352,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Kohima,Imphal,NH-02,Nagaland,37.7,Halted / Landslide Blockade,0.0,1.65,26,52.4,87.7,4.0,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0049,2026-08-25 13:30:00,ML-07-SP-4530,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Shillong,Silchar,NH-06,Assam,84.8,Halted / Landslide Blockade,0.0,18.32,2,58.3,86.6,5.7,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0050,2026-08-25 13:30:00,AS-06-MJ-2333,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,51.8,In Transit / Moving,68.3,0.67,30,62.1,100.9,6.3,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0051,2026-08-25 13:30:00,AR-05-NM-3819,Fuel Tanker (POL),Hazardous Cargo,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,87.4,In Transit / Moving,31.8,6.95,2,55.7,88.2,3.8,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0052,2026-08-25 13:30:00,AS-05-LH-2003,Multi-Axle Container Truck,Cargo / Logistics,Silchar,Aizawl,NH-306,Assam,15.4,In Transit / Moving,29.8,7.58,3,20.7,95.5,0.6,Normal,Pending Inspection,Moderate (3G)
VTL-NER-2026-0053,2026-08-25 13:30:00,NL-01-VA-7259,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Dimapur,Kohima,NH-29,Nagaland,83.2,In Transit / Moving,25.2,13.6,3,75.2,90.3,6.0,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0054,2026-08-25 13:30:00,ML-03-YT-6594,Emergency Relief Convoy / NDRF Truck,Emergency Services,Shillong,Silchar,NH-06,Assam,51.0,In Transit / Moving,47.7,6.07,1,60.8,83.7,6.5,Normal,Cleared,Satellite Fallback
VTL-NER-2026-0055,2026-08-25 13:30:00,WB-08-ZD-5244,Interstate Passenger Bus (ASTC/Private),Public Transit,Siliguri,Gangtok,NH-10,Sikkim,78.1,In Transit / Moving,55.1,2.77,3,38.4,84.1,5.1,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0056,2026-08-25 13:30:00,AS-07-LI-8549,Border Roads Construction Dumper,Infrastructure,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,36.7,Pit Stop / Checkpost Inspection,0.0,16.16,3,20.6,78.1,2.0,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0057,2026-08-25 13:30:00,AS-05-WS-4244,Emergency Relief Convoy / NDRF Truck,Emergency Services,Silchar,Aizawl,NH-306,Assam,33.9,In Transit / Moving,26.0,2.99,3,49.9,95.3,8.8,Yes (Exceeded 8 hrs),Cleared,Moderate (3G)
VTL-NER-2026-0058,2026-08-25 13:30:00,AS-08-YJ-3774,Border Roads Construction Dumper,Infrastructure,Guwahati,Itanagar,NH-15,Assam,31.9,In Transit / Moving,32.5,14.23,1,81.3,88.2,5.5,Normal,Pending Inspection,Strong (4G/5G)
VTL-NER-2026-0059,2026-08-25 13:30:00,TR-03-KB-7353,Multi-Axle Container Truck,Cargo / Logistics,Agartala,Silchar,NH-08,Tripura,20.9,In Transit / Moving,48.2,4.44,2,17.8,94.3,4.7,Normal,Pending Inspection,Moderate (3G)
VTL-NER-2026-0060,2026-08-25 13:30:00,AS-03-NP-5287,Multi-Axle Container Truck,Cargo / Logistics,Guwahati,Silchar,NH-27,Assam,26.7,In Transit / Moving,35.7,14.56,2,93.6,91.6,5.2,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0061,2026-08-25 13:30:00,AR-09-YJ-5837,Emergency Relief Convoy / NDRF Truck,Emergency Services,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,57.9,In Transit / Moving,53.9,2.0,1,86.7,96.9,8.9,Yes (Exceeded 8 hrs),Cleared,Strong (4G/5G)
VTL-NER-2026-0062,2026-08-25 13:30:00,AS-09-FY-9933,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Guwahati,Itanagar,NH-15,Assam,41.5,In Transit / Moving,24.6,4.53,1,21.3,96.7,5.4,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0063,2026-08-25 13:30:00,AS-08-VE-2140,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Silchar,Aizawl,NH-306,Mizoram,62.8,Halted / Traffic Congestion,6.0,22.22,2,44.5,91.8,6.3,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0064,2026-08-25 13:30:00,ML-05-ZJ-3308,Border Roads Construction Dumper,Infrastructure,Shillong,Silchar,NH-06,Meghalaya,46.3,In Transit / Moving,11.8,1.33,1,75.7,83.0,6.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0065,2026-08-25 13:30:00,AS-09-ZD-4463,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Silchar,Aizawl,NH-306,Assam,42.2,In Transit / Moving,40.9,0.33,1,84.4,88.2,5.9,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0066,2026-08-25 13:30:00,AR-02-EJ-4541,Interstate Passenger Bus (ASTC/Private),Public Transit,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,11.1,In Transit / Moving,38.8,9.9,1,85.2,87.1,3.4,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0067,2026-08-25 13:30:00,AS-02-KL-3939,Border Roads Construction Dumper,Infrastructure,Guwahati,Silchar,NH-27,Assam,85.6,In Transit / Moving,26.9,1.14,1,37.1,89.0,6.8,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0068,2026-08-25 13:30:00,AS-08-ME-4203,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Silchar,Aizawl,NH-306,Mizoram,92.7,In Transit / Moving,51.8,22.01,1,82.2,100.0,5.6,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0069,2026-08-25 13:30:00,AS-08-JQ-1352,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Guwahati,Itanagar,NH-15,Arunachal Pradesh,87.3,Halted / Landslide Blockade,0.0,1.19,9,15.2,87.8,7.4,Normal,Pending Inspection,Strong (4G/5G)
VTL-NER-2026-0070,2026-08-25 13:30:00,ML-01-EJ-6206,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Shillong,Silchar,NH-06,Meghalaya,34.0,In Transit / Moving,60.3,0.71,41,24.2,93.2,9.2,Yes (Exceeded 8 hrs),Cleared,Strong (4G/5G)
VTL-NER-2026-0071,2026-08-25 13:30:00,AS-04-ZK-2117,Fuel Tanker (POL),Hazardous Cargo,Guwahati,Dibrugarh,NH-27 / NH-15,Assam,57.2,Pit Stop / Checkpost Inspection,0.0,4.45,3,90.4,70.0,4.3,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0072,2026-08-25 13:30:00,ML-05-YR-5688,Emergency Relief Convoy / NDRF Truck,Emergency Services,Shillong,Silchar,NH-06,Meghalaya,24.1,In Transit / Moving,45.4,10.98,1,55.7,88.8,4.2,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0073,2026-08-25 13:30:00,AS-01-PU-6353,Multi-Axle Container Truck,Cargo / Logistics,Silchar,Aizawl,NH-306,Mizoram,68.5,In Transit / Moving,19.6,30.02,3,52.5,99.0,2.5,Normal,Cleared,Satellite Fallback
VTL-NER-2026-0074,2026-08-25 13:30:00,AS-06-KK-7662,Multi-Axle Container Truck,Cargo / Logistics,Tezpur,Tawang,NH-13 (Trans-Arunachal),Arunachal Pradesh,92.6,In Transit / Moving,31.4,17.32,2,35.3,101.7,5.6,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0075,2026-08-25 13:30:00,AR-03-RT-9686,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,57.8,In Transit / Moving,63.5,1.11,3,55.3,100.3,3.3,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0076,2026-08-25 13:30:00,AR-06-JV-8978,Interstate Passenger Bus (ASTC/Private),Public Transit,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,8.1,In Transit / Moving,51.4,0.31,2,55.1,101.3,7.5,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0077,2026-08-25 13:30:00,WB-06-LL-7071,Emergency Relief Convoy / NDRF Truck,Emergency Services,Siliguri,Gangtok,NH-10,Sikkim,78.7,In Transit / Moving,36.5,0.63,3,46.3,94.0,4.9,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0078,2026-08-25 13:30:00,NL-05-WU-6586,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Dimapur,Kohima,NH-29,Nagaland,7.6,Halted / Landslide Blockade,0.0,0.61,25,64.1,80.2,5.3,Normal,Cleared,Moderate (3G)
VTL-NER-2026-0079,2026-08-25 13:30:00,NL-08-NK-7611,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Dimapur,Kohima,NH-29,Nagaland,37.4,In Transit / Moving,42.7,1.78,3,59.0,97.3,8.8,Yes (Exceeded 8 hrs),Pending Inspection,Moderate (3G)
VTL-NER-2026-0080,2026-08-25 13:30:00,NL-01-PE-6895,Fuel Tanker (POL),Hazardous Cargo,Dimapur,Kohima,NH-29,Nagaland,85.7,In Transit / Moving,36.0,15.26,1,27.0,92.2,1.4,Normal,Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0081,2026-08-25 13:30:00,WB-09-WF-5041,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Siliguri,Gangtok,NH-10,West Bengal,44.5,In Transit / Moving,44.8,8.09,3,78.6,99.3,7.2,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0082,2026-08-25 13:30:00,NL-04-QS-1490,Border Roads Construction Dumper,Infrastructure,Kohima,Imphal,NH-02,Manipur,77.3,In Transit / Moving,20.7,8.22,2,64.7,82.7,6.9,Normal,N/A,Moderate (3G)
VTL-NER-2026-0083,2026-08-25 13:30:00,WB-09-EL-2295,Emergency Relief Convoy / NDRF Truck,Emergency Services,Siliguri,Gangtok,NH-10,Sikkim,89.0,In Transit / Moving,41.9,2.15,3,59.8,97.9,5.4,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0084,2026-08-25 13:30:00,NL-05-YU-6671,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Kohima,Imphal,NH-02,Manipur,93.4,In Transit / Moving,63.1,1.28,2,89.3,88.6,8.0,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0085,2026-08-25 13:30:00,AS-03-EI-4933,Fuel Tanker (POL),Hazardous Cargo,Guwahati,Silchar,NH-27,Assam,80.6,In Transit / Moving,45.5,18.27,3,82.8,82.4,8.8,Yes (Exceeded 8 hrs),Cleared,Weak (Mountain Shadow)
VTL-NER-2026-0086,2026-08-25 13:30:00,AR-01-JD-8015,Light Commercial Vehicle (Bolero Pick-up),Local Supply / Freight,Itanagar,Pasighat,NH-415 / NH-15,Arunachal Pradesh,80.2,In Transit / Moving,36.6,2.71,1,62.1,96.7,5.0,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0087,2026-08-25 13:30:00,TR-01-TC-8175,Heavy Freight Truck (10-Wheeler),Cargo / Logistics,Agartala,Silchar,NH-08,Tripura,37.3,In Transit / Moving,29.9,19.36,3,69.7,87.5,8.2,Yes (Exceeded 8 hrs),Cleared,Moderate (3G)
VTL-NER-2026-0088,2026-08-25 13:30:00,NL-08-HN-4138,Interstate Passenger Bus (ASTC/Private),Public Transit,Kohima,Imphal,NH-02,Manipur,82.9,In Transit / Moving,43.1,2.42,2,28.5,99.1,1.1,Normal,Pending Inspection,Moderate (3G)
VTL-NER-2026-0089,2026-08-25 13:30:00,ML-08-FM-6273,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Shillong,Silchar,NH-06,Meghalaya,33.8,In Transit / Moving,49.8,1.14,9,69.8,84.6,6.5,Normal,Customs/Inner Line Permit (ILP) Verification,Strong (4G/5G)
VTL-NER-2026-0090,2026-08-25 13:30:00,AS-02-KH-7660,Emergency Relief Convoy / NDRF Truck,Emergency Services,Guwahati,Itanagar,NH-15,Arunachal Pradesh,68.6,In Transit / Moving,57.8,0.64,3,79.4,101.5,3.1,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0091,2026-08-25 13:30:00,AS-03-CN-7543,Interstate Passenger Bus (ASTC/Private),Public Transit,Tezpur,Tawang,NH-13 (Trans-Arunachal),Arunachal Pradesh,75.3,In Transit / Moving,52.3,3.88,3,33.8,89.2,7.0,Normal,N/A,Strong (4G/5G)
VTL-NER-2026-0092,2026-08-25 13:30:00,TR-07-UT-4800,SUV / Tourist Taxi (Sumo/Innova),Passenger / Tourism,Agartala,Silchar,NH-08,Assam,72.1,Halted / Traffic Congestion,8.6,0.85,12,72.2,101.4,1.4,Normal,Cleared,Strong (4G/5G)
VTL-NER-2026-0093,2026-08-25 13:30:00,MN-03-IV-5157,Interstate Passenger Bus (ASTC/Private),Public Transit,Imphal,Moreh (Border),NH-102,Manipur,41.5,In Transit / Moving,60.2,1.49,2,88.5,94.3,6.2,Normal,Cleared,Strong (4G/5G)
