sample_id,state,district_location,latitude,longitude,elevation_m,landform_type,geological_formation,slope_degrees,aspect_degrees,aspect_cardinal,roughness_index_tri,landcover_class,soil_type,soil_moisture_pct,soil_ph,landslide_risk_level,landslide_susceptibility_score_10,soil_erosion_rate_t_ha_yr,seismic_zone,sensor_status
NER-TRN-ASS-0031,Assam,Jorhat,26.74421,94.21437,127.4,Riverine Plain & Terraces,Unconsolidated Alluvium,15.81,102.8,E,15.4,Tea Plantation,Red Sandy Clay,31.7,4.74,Moderate Risk (Class 3),5.6,51.7,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0032,Assam,Jorhat,26.75025,94.21692,119.1,Riverine Plain & Terraces,Unconsolidated Alluvium,23.88,224.2,SW,24.36,Riverine Marsh / Wetlands,Red Sandy Clay,24.9,4.83,Very High Risk (Class 5),7.8,31.29,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0033,Assam,Jorhat,26.75268,94.20984,95.5,Riverine Plain & Terraces,Unconsolidated Alluvium,13.95,184.3,S,13.64,Riverine Marsh / Wetlands,Red Sandy Clay,45.1,6.3,Low Risk (Class 1),2.9,31.34,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0034,Assam,Jorhat,26.75138,94.21098,134.8,Riverine Plain & Terraces,Unconsolidated Alluvium,17.06,101.0,E,20.54,Tea Plantation,Clayey Alluvium,30.4,4.99,Moderate Risk (Class 3),6.6,21.55,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0035,Assam,Jorhat,26.7529,94.18961,81.1,Riverine Plain & Terraces,Unconsolidated Alluvium,13.81,322.2,NW,19.26,Tea Plantation,Clayey Alluvium,24.0,6.56,Very Low Risk (Class 2),3.1,44.33,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0036,Assam,Jorhat,26.73391,94.20064,108.3,Riverine Plain & Terraces,Unconsolidated Alluvium,16.17,209.4,SW,15.26,Riverine Marsh / Wetlands,Red Sandy Clay,49.3,5.38,High Risk (Class 4),4.9,29.65,Zone V (Very High Risk),Maintenance Required
NER-TRN-ASS-0037,Assam,Jorhat,26.74749,94.20838,81.8,Riverine Plain & Terraces,Unconsolidated Alluvium,17.77,41.8,NE,18.93,Riverine Marsh / Wetlands,Clayey Alluvium,29.3,5.31,High Risk (Class 4),6.2,63.24,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0038,Assam,Jorhat,26.74578,94.19728,90.2,Riverine Plain & Terraces,Unconsolidated Alluvium,22.79,13.7,N,22.04,Riverine Marsh / Wetlands,Alluvial Silt Loam,65.9,4.54,High Risk (Class 4),4.8,60.67,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0039,Assam,Jorhat,26.75625,94.19764,120.1,Riverine Plain & Terraces,Unconsolidated Alluvium,21.7,343.9,N,24.19,Agricultural Paddy Land,Clayey Alluvium,66.9,5.9,Very High Risk (Class 5),7.8,43.29,Zone V (Very High Risk),Maintenance Required
NER-TRN-ASS-0040,Assam,Jorhat,26.745,94.18884,137.0,Riverine Plain & Terraces,Unconsolidated Alluvium,14.89,245.9,SW,15.41,Settlement / Built-up,Clayey Alluvium,57.2,6.55,Very Low Risk (Class 2),2.0,34.6,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0041,Assam,Tezpur,26.6398,92.81362,47.5,Brahmaputra Basin Margin,Quaternary Terrace Deposits,6.92,52.2,NE,11.08,Riverine Marsh / Wetlands,Clayey Alluvium,40.2,6.16,Very Low Risk (Class 2),1.6,25.82,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0042,Assam,Tezpur,26.61528,92.78404,82.4,Brahmaputra Basin Margin,Quaternary Terrace Deposits,0.96,104.7,E,9.06,Agricultural Paddy Land,Alluvial Silt Loam,22.3,6.05,Very Low Risk (Class 2),1.7,1.4,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0043,Assam,Tezpur,26.61736,92.7806,80.5,Brahmaputra Basin Margin,Quaternary Terrace Deposits,0.63,5.8,N,2.42,Tea Plantation,Clayey Alluvium,61.9,4.64,Low Risk (Class 1),2.6,2.08,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0044,Assam,Tezpur,26.62966,92.79931,31.9,Brahmaputra Basin Margin,Quaternary Terrace Deposits,5.12,232.3,SW,9.06,Settlement / Built-up,Clayey Alluvium,53.9,6.27,Low Risk (Class 1),3.1,9.53,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0045,Assam,Tezpur,26.62639,92.80913,13.7,Brahmaputra Basin Margin,Quaternary Terrace Deposits,1.92,12.9,N,5.02,Agricultural Paddy Land,Alluvial Silt Loam,24.6,5.64,Low Risk (Class 1),3.6,6.5,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0046,Assam,Tezpur,26.63307,92.81608,29.5,Brahmaputra Basin Margin,Quaternary Terrace Deposits,2.73,120.2,SE,9.92,Agricultural Paddy Land,Alluvial Silt Loam,43.8,5.79,Low Risk (Class 1),3.1,5.94,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0047,Assam,Tezpur,26.64393,92.81669,31.0,Brahmaputra Basin Margin,Quaternary Terrace Deposits,1.27,359.2,N,5.9,Agricultural Paddy Land,Red Sandy Clay,65.3,5.48,Low Risk (Class 1),2.3,3.12,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0048,Assam,Tezpur,26.62432,92.81944,15.9,Brahmaputra Basin Margin,Quaternary Terrace Deposits,1.46,224.2,SW,8.81,Tea Plantation,Red Sandy Clay,63.4,6.11,Low Risk (Class 1),3.7,2.1,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0049,Assam,Tezpur,26.64575,92.8063,75.8,Brahmaputra Basin Margin,Quaternary Terrace Deposits,1.87,209.5,SW,5.39,Tea Plantation,Clayey Alluvium,56.2,6.1,Very Low Risk (Class 2),1.5,5.73,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0050,Assam,Tezpur,26.61397,92.7858,56.4,Brahmaputra Basin Margin,Quaternary Terrace Deposits,7.07,52.9,NE,7.68,Tea Plantation,Alluvial Silt Loam,29.1,4.87,Very Low Risk (Class 2),3.9,8.66,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0051,Assam,Haflong,25.15091,93.03412,555.9,Dima Hasao Hill Range,Barail Group Sandstone,24.85,344.3,N,24.9,Shift Agriculture (Jhum),Clayey Alluvium,39.1,5.12,High Risk (Class 4),9.1,92.6,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0052,Assam,Haflong,25.17327,93.02775,511.8,Dima Hasao Hill Range,Barail Group Sandstone,19.1,190.8,S,20.83,Terrace Farming,Red Sandy Clay,58.8,6.77,Moderate Risk (Class 3),4.0,57.21,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0053,Assam,Haflong,25.17028,93.03558,493.6,Dima Hasao Hill Range,Barail Group Sandstone,13.7,276.0,W,15.88,Subtropical Pine Forest,Clayey Alluvium,25.9,4.78,Low Risk (Class 1),2.7,30.6,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0054,Assam,Haflong,25.17808,93.02943,488.1,Dima Hasao Hill Range,Barail Group Sandstone,10.58,182.6,S,14.65,Dense Mixed Evergreen Forest,Red Sandy Clay,49.8,5.03,Low Risk (Class 1),1.5,19.93,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0055,Assam,Haflong,25.1556,93.02102,453.3,Dima Hasao Hill Range,Barail Group Sandstone,14.48,65.4,NE,15.96,Subtropical Pine Forest,Clayey Alluvium,42.9,6.06,Low Risk (Class 1),3.2,46.34,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0056,Assam,Haflong,25.1751,93.02451,542.4,Dima Hasao Hill Range,Barail Group Sandstone,24.12,159.2,S,26.86,Terrace Farming,Red Sandy Clay,31.3,5.34,High Risk (Class 4),8.1,66.23,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0057,Assam,Haflong,25.17045,93.0146,516.9,Dima Hasao Hill Range,Barail Group Sandstone,15.2,248.8,W,16.28,Dense Mixed Evergreen Forest,Clayey Alluvium,57.0,5.51,Moderate Risk (Class 3),6.5,51.36,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0058,Assam,Haflong,25.15107,93.03652,603.7,Dima Hasao Hill Range,Barail Group Sandstone,14.19,119.1,SE,19.1,Subtropical Pine Forest,Alluvial Silt Loam,54.4,5.69,Low Risk (Class 1),1.1,25.21,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0059,Assam,Haflong,25.15614,93.01109,492.9,Dima Hasao Hill Range,Barail Group Sandstone,22.46,84.1,E,24.08,Subtropical Pine Forest,Clayey Alluvium,24.4,6.11,High Risk (Class 4),9.7,55.67,Zone V (Very High Risk),Active / Normal
NER-TRN-ASS-0060,Assam,Haflong,25.17695,93.02179,582.9,Dima Hasao Hill Range,Barail Group Sandstone,24.97,132.2,SE,27.53,Subtropical Pine Forest,Red Sandy Clay,56.0,5.55,High Risk (Class 4),8.9,68.85,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0061,Meghalaya,Shillong,25.57486,91.9035,1488.3,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,31.44,192.2,S,28.96,Dense Evergreen Broadleaf Forest,Humus Rich Loam,24.6,5.6,Moderate Risk (Class 3),4.1,105.23,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0062,Meghalaya,Shillong,25.56059,91.88941,1605.5,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,47.61,59.0,NE,45.47,Exposed Rock Ridge,Latosol / Red Clay,30.5,5.24,Very High Risk (Class 5),9.0,168.34,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0063,Meghalaya,Shillong,25.58225,91.89211,1571.4,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,36.67,307.2,NW,32.76,Dense Evergreen Broadleaf Forest,Latosol / Red Clay,46.1,4.96,Very High Risk (Class 5),8.7,58.07,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0064,Meghalaya,Shillong,25.57628,91.88919,1615.0,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,29.08,24.2,NE,32.98,Shift Agriculture (Jhum),Latosol / Red Clay,35.7,6.4,Very High Risk (Class 5),9.4,39.03,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0065,Meghalaya,Shillong,25.56537,91.8846,1563.6,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,18.51,35.4,NE,23.06,Shift Agriculture (Jhum),Peaty Carbonaceous Soil,56.8,4.7,High Risk (Class 4),6.5,61.96,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0066,Meghalaya,Shillong,25.57072,91.87733,1612.6,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,41.59,0.0,N,38.15,Degraded Forest / Bamboo Brake,Peaty Carbonaceous Soil,25.3,5.36,High Risk (Class 4),7.9,102.36,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0067,Meghalaya,Shillong,25.57345,91.89103,1428.9,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,50.29,250.9,W,44.8,Exposed Rock Ridge,Humus Rich Loam,29.7,5.09,High Risk (Class 4),7.2,96.1,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0068,Meghalaya,Shillong,25.5686,91.89845,1427.3,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,23.79,62.7,NE,28.01,Dense Mixed Evergreen Forest,Latosol / Red Clay,47.7,5.63,High Risk (Class 4),8.5,36.62,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0069,Meghalaya,Shillong,25.57469,91.88884,1486.0,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,23.71,249.6,W,28.38,Dense Mixed Evergreen Forest,Humus Rich Loam,55.9,5.11,Moderate Risk (Class 3),4.2,64.55,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0070,Meghalaya,Shillong,25.56548,91.88258,1457.6,Dissected Central Plateau,Shillong Group Quartzite / Metasediments,28.58,173.0,S,29.23,Dense Mixed Evergreen Forest,Latosol / Red Clay,35.1,5.48,Very High Risk (Class 5),7.1,53.63,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0071,Meghalaya,Cherrapunji (Sohra),25.31139,91.75204,1507.8,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,36.55,36.6,NE,36.97,Exposed Rock Ridge,Peaty Carbonaceous Soil,38.3,5.53,High Risk (Class 4),8.0,124.15,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0072,Meghalaya,Cherrapunji (Sohra),25.31586,91.71765,1592.1,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,36.93,162.9,S,32.64,Dense Evergreen Broadleaf Forest,Peaty Carbonaceous Soil,47.6,5.25,High Risk (Class 4),8.7,77.99,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0073,Meghalaya,Cherrapunji (Sohra),25.28881,91.74362,1413.0,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,34.86,120.7,SE,33.0,Dense Evergreen Broadleaf Forest,Latosol / Red Clay,27.6,5.9,High Risk (Class 4),9.4,86.69,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0074,Meghalaya,Cherrapunji (Sohra),25.31324,91.74313,1551.1,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,45.22,256.2,W,42.12,Dense Evergreen Broadleaf Forest,Latosol / Red Clay,46.2,6.46,Very High Risk (Class 5),8.6,161.11,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0075,Meghalaya,Cherrapunji (Sohra),25.28605,91.74232,1594.2,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,48.47,263.9,W,47.06,Dense Evergreen Broadleaf Forest,Humus Rich Loam,32.8,6.32,High Risk (Class 4),8.2,114.13,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0076,Meghalaya,Cherrapunji (Sohra),25.29434,91.71416,1385.6,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,20.08,247.3,SW,23.34,Shift Agriculture (Jhum),Latosol / Red Clay,26.8,6.4,High Risk (Class 4),8.8,34.44,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0077,Meghalaya,Cherrapunji (Sohra),25.30788,91.7244,1594.0,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,30.68,108.3,E,34.06,Exposed Rock Ridge,Latosol / Red Clay,31.5,5.63,High Risk (Class 4),8.6,53.88,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0078,Meghalaya,Cherrapunji (Sohra),25.3067,91.72844,1558.6,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,21.22,119.4,SE,25.43,Terrace Farming,Humus Rich Loam,48.7,5.42,Moderate Risk (Class 3),6.0,69.95,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0079,Meghalaya,Cherrapunji (Sohra),25.28938,91.71502,1442.2,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,34.44,268.2,W,31.71,Degraded Forest / Bamboo Brake,Latosol / Red Clay,61.1,4.88,High Risk (Class 4),8.7,85.98,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0080,Meghalaya,Cherrapunji (Sohra),25.28321,91.73623,1398.9,Southern Plateau Escarpment & Canyons,Sylhet Limestone & Sandstone,18.48,5.6,N,22.39,Terrace Farming,Latosol / Red Clay,29.8,5.12,High Risk (Class 4),5.6,45.65,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0081,Meghalaya,Tura,25.50259,90.20096,354.2,Garo Hills Spur,Archaean Gneissic Complex,11.65,160.0,S,17.06,Subtropical Pine Forest,Peaty Carbonaceous Soil,53.9,6.67,Low Risk (Class 1),1.0,15.29,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0082,Meghalaya,Tura,25.51847,90.19902,330.6,Garo Hills Spur,Archaean Gneissic Complex,24.62,26.9,NE,29.32,Terrace Farming,Peaty Carbonaceous Soil,61.2,6.73,Moderate Risk (Class 3),5.1,59.33,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0083,Meghalaya,Tura,25.51239,90.21412,368.3,Garo Hills Spur,Archaean Gneissic Complex,10.22,201.6,S,13.1,Shift Agriculture (Jhum),Latosol / Red Clay,51.1,4.66,Low Risk (Class 1),3.1,15.8,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0084,Meghalaya,Tura,25.51672,90.20885,354.6,Garo Hills Spur,Archaean Gneissic Complex,17.72,242.6,SW,18.24,Dense Mixed Evergreen Forest,Humus Rich Loam,27.0,5.24,High Risk (Class 4),6.4,29.31,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0085,Meghalaya,Tura,25.51438,90.21609,320.0,Garo Hills Spur,Archaean Gneissic Complex,21.75,354.4,N,23.66,Subtropical Pine Forest,Peaty Carbonaceous Soil,42.1,6.68,Moderate Risk (Class 3),5.3,45.04,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0086,Meghalaya,Tura,25.5329,90.20755,371.8,Garo Hills Spur,Archaean Gneissic Complex,21.74,39.6,NE,26.48,Shift Agriculture (Jhum),Latosol / Red Clay,39.2,5.16,High Risk (Class 4),8.1,79.75,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0087,Meghalaya,Tura,25.49624,90.18481,346.4,Garo Hills Spur,Archaean Gneissic Complex,9.68,227.8,SW,11.86,Shift Agriculture (Jhum),Latosol / Red Clay,35.3,6.65,Low Risk (Class 1),2.7,22.19,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0088,Meghalaya,Tura,25.52899,90.21941,335.9,Garo Hills Spur,Archaean Gneissic Complex,16.53,346.6,N,20.86,Dense Mixed Evergreen Forest,Peaty Carbonaceous Soil,32.0,5.06,Moderate Risk (Class 3),6.1,45.62,Zone V (Very High Risk),Active / Normal
NER-TRN-MEG-0089,Meghalaya,Tura,25.52029,90.19695,381.4,Garo Hills Spur,Archaean Gneissic Complex,17.64,257.6,W,21.48,Terrace Farming,Humus Rich Loam,58.4,4.96,Moderate Risk (Class 3),4.5,42.52,Zone V (Very High Risk),Active / Normal
